,County,Weighted number Women,Weighted number Men,Have ever been pregnant,Any method,Any modern method,Female sterilization,Male sterilization,IUD,Injectables,Implants,Pill,Male condom,Female condom,Emer- gency contraception,SDM,LAM,Other Modern Methods,Any traditional nmethod,Rhythm,Withdrawal,Other Tradtional Methods,Not currently using,Unmet Need for Family Planning,Met Need for Family Planning (All Methods),Total Demand for Family Planning,County,No Education,Some Primary,Completed Primary,Some Secondary,Completed Secondary,More Than Secondary,Median Years Completed,Registered,,2+,Median Birth Interval,Live birth,Stillbirth,Miscarriage,Induced abortion,Number of Pregnancies,Mean,Wanted fertility Rate,Total fertility Rate,Percentage who used,Mainly wife,Jointly,Mainly husband,Other,% Pressured to become pregnant,Radio,Television,Newspaper/ Magazine,Mobile phone,Social media,Poster/ leaflet/ brochure,Outdoor sign or billboard or events,Community Meeting,Friends/ peers,Internet,None of these,% Visited by  fieldworker who discussed FP,% who visited a health facility and discussed FP,% who visited a health facility and did not discuss FP,No contact
10,Isiolo,137.0,55.0,16.7,30.7,28.7,0.8,0.0,1.4,15.8,4.4,5.1,0.7,0.0,0.0,0.0,0.6,0.0,1.9,0.2,1.2,0.5,69.3,27.3,33.0,60.2,Isiolo  ,25.5,14.4,18.6,11.6,15.6,14.4,7.3,40.3,93.4,6.6,34.1,91.8,1.1,7.1,0.0,61.0,4.7,3.8,4.5,1.7,20.3,65.4,13.0,0.0,7.2,50.4,54.5,28.1,35.3,35.1,39.3,35.2,47.7,80.2,35.9,10.8,8.2,11.9,18.0,82.5
11,Meru,979.0,489.0,23.6,76.0,69.7,0.7,0.0,3.3,31.3,22.9,9.7,0.1,0.0,0.3,0.0,0.0,1.3,6.3,4.1,1.6,0.6,24.0,7.8,77.7,85.5,Meru  ,1.7,28.7,21.5,19.9,14.4,13.7,7.4,21.5,97.5,2.5,50.0,92.7,0.6,6.7,0.0,311.0,3.2,2.8,3.3,4.5,45.4,48.4,6.2,0.0,14.3,50.9,39.4,14.3,11.7,23.4,25.2,25.8,21.4,66.3,20.7,16.7,2.2,9.4,36.4,89.3
12,Tharaka-Nithi,271.0,137.0,9.9,74.7,67.9,3.0,0.0,4.5,31.3,19.5,7.3,1.7,0.0,0.0,0.3,0.3,0.0,6.7,4.9,1.8,0.0,25.3,9.7,72.9,82.6,Tharaka-Nithi  ,0.3,25.5,21.5,16.2,16.9,19.6,7.7,26.2,98.4,1.6,59.9,88.9,2.5,8.6,0.0,87.0,3.3,2.9,3.4,2.5,35.2,55.7,9.0,0.0,6.0,42.9,30.8,13.0,18.3,18.8,42.1,18.4,29.0,71.2,18.2,15.4,1.8,14.5,52.3,83.7
13,Embu,358.0,176.0,14.4,81.7,75.2,1.8,0.0,7.5,21.1,19.6,22.9,0.5,0.0,0.0,1.7,0.1,0.0,6.6,5.6,0.6,0.4,18.3,2.2,81.7,83.9,Embu  ,1.2,13.6,24.4,19.8,22.4,18.6,7.9,26.6,99.2,0.8,61.5,89.3,1.7,8.9,0.0,114.0,3.2,2.8,3.0,2.6,58.7,30.4,10.2,0.7,6.8,58.7,46.6,22.3,17.0,29.3,47.6,22.6,56.1,75.8,21.6,6.8,1.9,14.6,25.3,84.3
14,Kitui,735.0,312.0,9.2,68.3,62.4,1.2,0.0,1.0,35.2,16.3,4.8,0.7,0.0,2.4,0.7,0.0,0.0,6.0,2.7,3.2,0.1,31.7,17.7,67.4,85.1,Kitui  ,1.6,17.9,31.2,17.8,15.1,16.4,7.7,16.5,99.1,0.9,43.0,95.2,0.8,4.0,0.0,213.0,3.3,2.7,3.3,2.2,44.1,50.9,3.9,1.1,2.1,69.0,24.6,8.8,7.1,14.7,18.5,19.2,70.0,87.2,17.6,6.5,0.0,5.4,10.7,94.6
15,Machakos,992.0,480.0,11.3,76.3,66.4,3.4,0.0,4.9,26.5,13.4,16.0,1.9,0.0,0.2,0.3,0.0,0.0,9.8,7.5,0.6,1.8,23.7,6.7,77.2,84.0,Machakos  ,0.4,9.9,19.5,21.7,22.4,26.1,8.7,17.4,98.2,1.8,51.4,90.8,0.7,8.5,0.0,266.0,2.9,2.0,2.6,5.5,43.7,51.0,4.6,0.7,7.4,53.8,50.1,17.8,8.3,26.4,44.6,20.8,37.9,81.1,31.0,7.4,0.9,5.9,57.2,93.2
16,Makueni,683.0,279.0,11.1,73.3,64.4,4.4,0.0,2.9,24.8,19.6,10.2,1.5,0.0,0.0,0.1,0.7,0.0,8.9,7.6,0.8,0.5,26.7,10.8,69.3,80.1,Makueni  ,0.0,14.5,29.2,19.6,20.5,16.2,7.8,20.4,96.9,3.1,48.4,93.0,0.5,6.5,0.0,202.0,3.1,2.5,3.3,2.2,26.9,66.6,6.5,0.0,2.9,57.9,29.4,8.9,12.6,16.0,26.4,30.1,56.3,80.6,22.6,4.7,3.5,14.8,27.8,85.2
17,Nyandarua,409.0,168.0,5.2,71.4,66.7,2.3,0.0,12.2,22.9,13.1,12.0,2.5,0.0,0.0,0.1,1.1,0.5,4.7,4.4,0.4,0.0,28.6,8.6,75.9,84.4,Nyandarua  ,0.3,12.6,29.0,22.7,23.2,12.0,7.8,14.3,100.0,0.0,51.0,89.5,2.5,8.0,0.0,126.0,3.5,3.3,3.8,4.5,66.3,30.4,2.7,0.5,7.9,70.8,68.8,11.6,11.6,23.7,26.7,35.8,35.1,76.7,24.5,5.8,0.3,3.6,44.2,96.2
18,Nyeri,501.0,235.0,4.5,81.0,70.5,3.7,0.0,18.8,16.9,12.6,15.7,1.5,0.0,0.0,0.0,1.3,0.3,10.5,8.2,2.3,0.0,19.0,4.9,79.7,84.6,Nyeri  ,0.0,5.6,18.8,19.0,28.7,27.9,9.2,20.1,98.4,1.6,57.7,86.1,1.2,12.7,0.0,163.0,3.2,2.6,3.1,6.7,39.3,56.9,3.8,0.0,9.3,70.6,69.6,31.4,13.4,50.2,43.4,39.5,27.8,81.2,45.5,3.2,1.0,10.7,47.7,88.3
19,Kirinyaga,481.0,191.0,7.3,76.6,70.8,0.8,0.0,15.4,17.5,16.2,19.0,1.4,0.0,0.3,0.0,0.2,0.0,5.8,4.6,0.6,0.7,23.4,6.7,73.7,80.4,Kirinyaga  ,1.2,13.9,25.4,18.6,23.7,17.2,7.9,17.1,99.2,0.8,58.6,78.5,2.2,19.3,0.0,148.0,2.9,2.7,3.1,5.5,54.9,39.7,1.9,3.4,11.1,58.1,65.2,11.5,8.2,38.1,51.6,38.5,67.9,88.9,36.3,6.6,1.6,24.8,36.4,73.6
20,Murang’a,692.0,297.0,7.4,72.7,67.3,1.4,0.0,7.0,17.4,14.9,20.4,1.9,0.0,1.3,0.7,2.2,0.0,5.4,5.4,0.0,0.0,27.3,5.3,73.0,78.4,Murang’a  ,0.8,9.6,28.7,23.0,23.9,14.0,7.9,17.8,95.2,4.8,48.1,91.3,2.0,4.2,2.5,218.0,3.3,3.1,3.5,7.6,56.5,37.3,6.2,0.0,20.5,72.8,68.4,43.8,15.6,30.1,56.4,49.9,40.2,74.1,21.6,6.7,0.0,14.2,35.5,85.8
21,Kiambu,2094.0,911.0,11.9,77.4,68.2,2.5,0.0,9.7,14.7,22.5,16.8,0.6,0.0,0.0,0.6,0.7,0.0,9.2,7.0,1.0,1.2,22.6,8.0,74.5,82.4,Kiambu  ,0.5,8.9,15.0,18.2,25.8,31.7,9.3,14.8,97.2,2.8,54.6,87.2,1.9,10.4,0.6,725.0,3.2,2.5,2.6,8.8,43.7,50.4,5.3,0.6,17.7,50.6,57.3,13.2,7.9,44.2,32.2,31.5,22.7,79.2,39.3,6.5,0.0,10.8,42.4,89.2
22,Turkana,331.0,111.0,18.5,43.8,30.7,1.3,0.0,0.0,9.3,5.7,0.3,0.2,0.0,0.2,0.5,13.2,0.0,13.1,11.9,0.8,0.4,56.2,15.6,39.4,55.1,Turkana  ,58.6,16.3,5.4,7.1,6.7,5.8,0.0,18.2,82.1,17.9,31.3,89.3,1.7,9.0,0.0,204.0,5.9,5.6,5.9,1.7,36.2,38.6,4.2,21.0,16.6,17.1,9.3,3.8,6.4,10.7,6.0,11.3,54.1,84.6,10.3,14.0,3.4,26.4,34.9,72.1
23,West Pokot,384.0,150.0,36.3,23.5,23.2,0.9,0.0,0.2,8.3,11.7,1.6,0.1,0.0,0.0,0.0,0.4,0.0,0.3,0.3,0.0,0.0,76.5,30.3,23.2,53.5,West Pokot  ,30.4,28.1,8.0,13.7,10.0,9.9,6.0,9.4,85.0,15.0,28.6,93.8,2.0,4.2,0.0,278.0,5.7,6.1,6.6,1.9,25.3,60.3,12.1,2.3,8.5,56.6,23.3,10.5,21.2,12.3,15.2,10.7,58.7,85.8,15.5,8.1,1.3,1.5,21.1,97.3
24,Samburu,156.0,51.0,50.1,33.7,25.4,0.3,0.0,2.8,8.3,10.6,2.3,0.2,0.0,0.0,0.0,0.9,0.0,8.3,6.1,2.2,0.0,66.3,29.4,33.1,62.5,Samburu  ,48.7,15.1,8.7,9.0,9.5,8.9,1.2,6.9,85.3,14.7,33.8,85.8,2.4,11.9,0.0,106.0,5.7,5.1,5.6,3.2,49.7,34.8,15.1,0.3,4.6,29.2,18.6,6.7,3.3,14.8,17.4,16.7,60.7,88.6,12.2,5.5,4.4,8.8,57.2,88.0
